Project_ID,Project_Name,Budget,Estimated_Hours,Timeline_Days,Team_Size,%_Budget_Used,%_Work_Completed,%_Timeline_Completed,At_Risk
1,Project_G,98062,857,80,17,0.49,0.68,1.21,1
2,Project_A,51048,203,330,7,0.07,0.86,0.52,0
3,Project_Z,81832,693,326,9,0.73,1.0,1.1,0
4,Project_T,88274,767,326,13,0.29,0.55,1.43,1
5,Project_M,18381,579,211,17,1.13,0.59,1.18,1
6,Project_V,13484,210,91,16,0.39,0.9,1.04,0
7,Project_P,32482,260,345,17,0.86,1.0,0.8,0
8,Project_K,21485,667,91,8,0.98,1.0,0.89,0
9,Project_Y,97010,138,273,13,0.15,1.0,0.98,0
10,Project_O,76245,863,142,15,0.46,1.0,0.95,0
11,Project_U,28711,204,326,5,0.44,0.98,1.22,1
12,Project_R,25034,326,54,16,1.1,1.0,0.68,1
13,Project_Q,38592,209,32,17,0.2,1.0,0.58,0
14,Project_S,56663,459,361,12,0.21,0.69,1.14,1
15,Project_A,78248,792,265,10,0.94,1.0,0.69,0
16,Project_V,37766,167,142,8,0.39,1.0,1.07,0
17,Project_C,23562,236,145,10,1.18,1.0,0.55,1
18,Project_D,22547,589,34,4,2.04,1.0,0.71,1
19,Project_F,48655,429,202,11,0.61,0.8,0.63,0
20,Project_D,94693,940,131,18,1.07,1.0,0.74,1
21,Project_Q,55728,120,183,13,0.25,1.0,1.08,0
22,Project_R,85821,534,90,4,0.33,0.61,1.46,1
23,Project_I,5903,452,210,8,2.95,0.73,0.94,1
24,Project_D,77766,274,52,10,0.32,1.0,0.62,0
25,Project_C,90786,353,183,17,0.15,0.75,0.73,0
26,Project_V,41333,102,249,14,0.04,0.63,0.71,0
27,Project_Q,69741,866,359,16,1.19,1.0,0.85,1
28,Project_V,92819,65,37,18,0.03,1.0,0.91,0
29,Project_K,21599,740,326,19,1.48,1.0,0.82,1
30,Project_Z,83552,328,235,3,0.35,1.0,0.95,0
31,Project_T,36648,967,306,13,2.48,1.0,1.3,1
32,Project_C,6856,166,274,18,0.35,0.57,1.4,1
33,Project_K,28779,921,48,7,1.27,0.84,1.49,1
34,Project_V,99947,413,179,5,0.17,0.56,1.44,1
35,Project_S,81537,961,109,4,1.03,1.0,0.7,1
36,Project_K,42103,936,141,6,1.12,0.73,1.47,1
37,Project_F,42410,151,154,11,0.22,0.62,0.88,1
38,Project_H,6929,921,128,18,9.71,1.0,1.09,1
39,Project_V,92994,265,252,6,0.26,0.99,0.82,0
40,Project_K,71564,994,136,4,0.5,0.88,1.36,1
41,Project_N,64044,748,126,11,0.95,1.0,1.07,0
42,Project_U,99148,903,57,6,0.18,0.54,0.74,1
43,Project_M,66181,708,142,16,0.82,1.0,1.05,0
44,Project_W,30812,103,73,18,0.23,0.86,1.32,1
45,Project_F,84735,332,210,6,0.23,0.65,0.8,0
46,Project_Z,89008,539,209,17,0.36,0.63,1.32,1
47,Project_V,52451,892,149,15,0.33,0.63,1.34,1
48,Project_V,58630,242,208,5,0.22,1.0,1.11,0
49,Project_A,52505,969,106,13,1.53,0.88,0.56,1
50,Project_M,34387,498,175,18,0.4,1.0,1.3,1
51,Project_W,67270,389,313,9,0.23,0.72,1.31,1
52,Project_W,92361,182,60,19,0.15,0.75,0.76,0
53,Project_N,18485,53,352,16,0.2,1.0,1.35,1
54,Project_R,92953,769,266,11,0.4,0.68,0.56,0
55,Project_Q,87220,729,143,8,0.22,1.0,0.83,0
56,Project_I,95735,790,202,20,0.59,1.0,1.06,0
57,Project_A,82328,778,193,5,0.28,0.61,0.78,0
58,Project_S,9283,281,136,9,3.36,1.0,0.7,1
59,Project_P,61426,361,206,7,0.61,1.0,0.53,0
60,Project_T,58374,426,345,4,0.44,1.0,0.81,0
61,Project_M,22393,656,282,15,1.06,0.91,0.99,1
62,Project_V,30382,693,113,10,0.95,0.72,0.61,0
63,Project_L,24233,585,363,20,1.96,0.81,0.62,1
